Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID
30376,,Spot,1,Image 1,4,1001135666,1135666
33708,,Spot,1,Image 1,4,1001114859,1136240
39460,,Spot,1,Image 1,4,1001114914,1136291
41700,,Spot,1,Image 1,4,1001114932,1136308
35528,,Spot,1,Image 1,4,1001114970,1136340
24484,,Spot,1,Image 1,5,1001108722,1137344
25724,,Spot,1,Image 1,5,1001108880,1137504
38808,,Spot,1,Image 1,5,1001108915,1137529
30168,,Spot,1,Image 1,5,1001130236,1137538
37568,,Spot,1,Image 1,5,1001108958,1137573
32696,,Spot,1,Image 1,5,1001109002,1137618
38180,,Spot,1,Image 1,5,1001109104,1137688
26336,,Spot,1,Image 1,5,1001109241,1137823
31412,,Spot,1,Image 1,5,1001109298,1137892
31344,,Spot,1,Image 1,5,1001109419,1137988
36080,,Spot,1,Image 1,5,1001109441,1138003
28228,,Spot,1,Image 1,5,1001109487,1138054
27216,,Spot,1,Image 1,5,1001109538,1138091
26324,,Spot,1,Image 1,5,1001116942,1138259
26912,,Spot,1,Image 1,5,1001110105,1138599
31056,,Spot,1,Image 1,5,1001111580,1139950
38736,,Spot,1,Image 1,5,1001112749,1141080
28088,,Spot,1,Image 1,5,1001113839,1142107
38164,,Spot,1,Image 1,5,1001113852,1142112
30552,,Spot,1,Image 1,5,1001113875,1142133
33728,,Spot,1,Image 1,5,1001113891,1142143
31320,,Spot,1,Image 1,5,1001113909,1142162
34596,,Spot,1,Image 1,5,1001113935,1142192
30852,,Spot,1,Image 1,5,1001142234,1142234
32296,,Spot,1,Image 1,5,1001113998,1142260
29028,,Spot,1,Image 1,5,1001128123,1142289
32320,,Spot,1,Image 1,5,1001114033,1142290
32360,,Spot,1,Image 1,5,1001114083,1142330
31124,,Spot,1,Image 1,5,1001114155,1142407
39312,,Spot,1,Image 1,5,1001114212,1142460
29436,,Spot,1,Image 1,5,1001114228,1142465
42284,,Spot,1,Image 1,5,1001114996,1142472
31684,,Spot,1,Image 1,5,1001114259,1142482
36312,,Spot,1,Image 1,5,1001121359,1142483
30344,,Spot,1,Image 1,5,1001135639,1142491
29912,,Spot,1,Image 1,5,1001135666,1142517
34960,,Spot,1,Image 1,5,1001114859,1143039
40952,,Spot,1,Image 1,5,1001114914,1143096
40068,,Spot,1,Image 1,5,1001114932,1143111
34480,,Spot,1,Image 1,5,1001114970,1143141
24448,,Spot,1,Image 1,6,1001108722,1144175
29164,,Spot,1,Image 1,6,1001108880,1144351
39364,,Spot,1,Image 1,6,1001108915,1144374
33648,,Spot,1,Image 1,6,1001130236,1144381
36820,,Spot,1,Image 1,6,1001108958,1144410
31804,,Spot,1,Image 1,6,1001109002,1144449
33808,,Spot,1,Image 1,6,1001109104,1144518
25776,,Spot,1,Image 1,6,1001109146,1144577
30996,,Spot,1,Image 1,6,1001109241,1144674
29688,,Spot,1,Image 1,6,1001109298,1144741
32124,,Spot,1,Image 1,6,1001109419,1144835
35308,,Spot,1,Image 1,6,1001109441,1144851
27728,,Spot,1,Image 1,6,1001109487,1144903
30572,,Spot,1,Image 1,6,1001109538,1144941
28320,,Spot,1,Image 1,6,1001144970,1144970
23884,,Spot,1,Image 1,6,1001116942,1145117
30060,,Spot,1,Image 1,6,1001110105,1145444
30436,,Spot,1,Image 1,6,1001111580,1146824
34708,,Spot,1,Image 1,6,1001112749,1147948
34396,,Spot,1,Image 1,6,1001113839,1149003
39456,,Spot,1,Image 1,6,1001113852,1149008
29096,,Spot,1,Image 1,6,1001113875,1149041
33816,,Spot,1,Image 1,6,1001113891,1149049
27448,,Spot,1,Image 1,6,1001113909,1149071
37308,,Spot,1,Image 1,6,1001113935,1149105
29428,,Spot,1,Image 1,6,1001142234,1149141
27216,,Spot,1,Image 1,6,1001113998,1149160
29256,,Spot,1,Image 1,6,1001128123,1149195
32068,,Spot,1,Image 1,6,1001114033,1149200
32296,,Spot,1,Image 1,6,1001114083,1149242
36240,,Spot,1,Image 1,6,1001114970,1149244
34440,,Spot,1,Image 1,6,1001114155,1149308
42692,,Spot,1,Image 1,6,1001114212,1149369
33328,,Spot,1,Image 1,6,1001114228,1149376
33416,,Spot,1,Image 1,6,1001114259,1149396
36372,,Spot,1,Image 1,6,1001121359,1149397
29220,,Spot,1,Image 1,6,1001135639,1149409
33628,,Spot,1,Image 1,6,1001114859,1149968
45496,,Spot,1,Image 1,6,1001114914,1150028
42700,,Spot,1,Image 1,6,1001114932,1150039
31444,,Spot,1,Image 1,6,1001128992,1150067
43024,,Spot,1,Image 1,6,1001114996,1150099
24916,,Spot,1,Image 1,7,1001108722,1151085
28944,,Spot,1,Image 1,7,1001108880,1151246
42704,,Spot,1,Image 1,7,1001108915,1151269
33564,,Spot,1,Image 1,7,1001130236,1151275
39488,,Spot,1,Image 1,7,1001108958,1151310
33932,,Spot,1,Image 1,7,1001109002,1151356
36148,,Spot,1,Image 1,7,1001109104,1151418
28496,,Spot,1,Image 1,7,1001109146,1151461
29312,,Spot,1,Image 1,7,1001109241,1151565
30232,,Spot,1,Image 1,7,1001109298,1151636
22344,,Spot,1,Image 1,7,1001130700,1151725
30696,,Spot,1,Image 1,7,1001109419,1151728
37612,,Spot,1,Image 1,7,1001109441,1151745
27896,,Spot,1,Image 1,7,1001109487,1151795
27820,,Spot,1,Image 1,7,1001109538,1151823
23816,,Spot,1,Image 1,7,1001110105,1152346
30864,,Spot,1,Image 1,7,1001111580,1153747
35588,,Spot,1,Image 1,7,1001112749,1154917
28076,,Spot,1,Image 1,7,1001113839,1155909
38808,,Spot,1,Image 1,7,1001113852,1155913
31500,,Spot,1,Image 1,7,1001113875,1155948
31828,,Spot,1,Image 1,7,1001113909,1155979
35920,,Spot,1,Image 1,7,1001113935,1156004
31308,,Spot,1,Image 1,7,1001142234,1156039
28420,,Spot,1,Image 1,7,1001113998,1156055
32812,,Spot,1,Image 1,7,1001114033,1156098
31088,,Spot,1,Image 1,7,1001114083,1156136
34684,,Spot,1,Image 1,7,1001114155,1156209
41460,,Spot,1,Image 1,7,1001114212,1156267
28848,,Spot,1,Image 1,7,1001114228,1156277
44680,,Spot,1,Image 1,7,1001114996,1156285
39532,,Spot,1,Image 1,7,1001121359,1156302
33100,,Spot,1,Image 1,7,1001114259,1156304
30036,,Spot,1,Image 1,7,1001135639,1156311
39560,,Spot,1,Image 1,7,1001114859,1156857
44344,,Spot,1,Image 1,7,1001114914,1156920
36932,,Spot,1,Image 1,7,1001114932,1156930
34484,,Spot,1,Image 1,7,1001128992,1156957
32976,,Spot,1,Image 1,7,1001114970,1156959
26512,,Spot,1,Image 1,8,1001108722,1158001
26232,,Spot,1,Image 1,8,1001108880,1158168
43676,,Spot,1,Image 1,8,1001108915,1158196
33468,,Spot,1,Image 1,8,1001130236,1158204
37236,,Spot,1,Image 1,8,1001108958,1158235
31928,,Spot,1,Image 1,8,1001109002,1158284
27472,,Spot,1,Image 1,8,1001158314,1158314
35276,,Spot,1,Image 1,8,1001109104,1158338
24696,,Spot,1,Image 1,8,1001109146,1158386
24964,,Spot,1,Image 1,8,1001109241,1158485
34436,,Spot,1,Image 1,8,1001109298,1158556
29252,,Spot,1,Image 1,8,1001109419,1158651
36160,,Spot,1,Image 1,8,1001109441,1158679
25276,,Spot,1,Image 1,8,1001109487,1158726
33580,,Spot,1,Image 1,8,1001109538,1158756
28328,,Spot,1,Image 1,8,1001144970,1158787
22420,,Spot,1,Image 1,8,1001116942,1158934
30460,,Spot,1,Image 1,8,1001110105,1159303
30660,,Spot,1,Image 1,8,1001111580,1160729
38204,,Spot,1,Image 1,8,1001112749,1161851
35140,,Spot,1,Image 1,8,1001113839,1162882
35860,,Spot,1,Image 1,8,1001113852,1162890
28672,,Spot,1,Image 1,8,1001113875,1162925
34180,,Spot,1,Image 1,8,1001113891,1162935
32360,,Spot,1,Image 1,8,1001113909,1162959
36636,,Spot,1,Image 1,8,1001113935,1162987
27216,,Spot,1,Image 1,8,1001142234,1163024
30864,,Spot,1,Image 1,8,1001113998,1163037
32724,,Spot,1,Image 1,8,1001114033,1163077
31900,,Spot,1,Image 1,8,1001114083,1163117
34720,,Spot,1,Image 1,8,1001114155,1163189
36956,,Spot,1,Image 1,8,1001114212,1163250
31400,,Spot,1,Image 1,8,1001114228,1163259
45196,,Spot,1,Image 1,8,1001114996,1163264
40408,,Spot,1,Image 1,8,1001121359,1163275
33732,,Spot,1,Image 1,8,1001114259,1163282
30784,,Spot,1,Image 1,8,1001135639,1163292
30564,,Spot,1,Image 1,8,1001135666,1163315
38648,,Spot,1,Image 1,8,1001114859,1163861
44524,,Spot,1,Image 1,8,1001114914,1163917
36752,,Spot,1,Image 1,8,1001114932,1163930
33868,,Spot,1,Image 1,8,1001128992,1163959
35540,,Spot,1,Image 1,8,1001114970,1163964
27172,,Spot,1,Image 1,9,1001108722,1164970
26468,,Spot,1,Image 1,9,1001108880,1165140
42984,,Spot,1,Image 1,9,1001108915,1165166
34084,,Spot,1,Image 1,9,1001130236,1165173
39344,,Spot,1,Image 1,9,1001108958,1165208
33168,,Spot,1,Image 1,9,1001109002,1165259
28616,,Spot,1,Image 1,9,1001158314,1165296
35256,,Spot,1,Image 1,9,1001109104,1165326
28088,,Spot,1,Image 1,9,1001109146,1165368
27552,,Spot,1,Image 1,9,1001109241,1165473
33520,,Spot,1,Image 1,9,1001109298,1165540
29552,,Spot,1,Image 1,9,1001109419,1165644
34276,,Spot,1,Image 1,9,1001109441,1165658
26644,,Spot,1,Image 1,9,1001109487,1165707
28392,,Spot,1,Image 1,9,1001109538,1165734
27324,,Spot,1,Image 1,9,1001165762,1165762
28668,,Spot,1,Image 1,9,1001144970,1165763
26156,,Spot,1,Image 1,9,1001116942,1165916
31556,,Spot,1,Image 1,9,1001110105,1166261
29624,,Spot,1,Image 1,9,1001111580,1167639
34916,,Spot,1,Image 1,9,1001112749,1168750
32856,,Spot,1,Image 1,9,1001113839,1169771
35476,,Spot,1,Image 1,9,1001113852,1169775
28424,,Spot,1,Image 1,9,1001113875,1169800
31848,,Spot,1,Image 1,9,1001113891,1169815
30368,,Spot,1,Image 1,9,1001113909,1169841
40616,,Spot,1,Image 1,9,1001113935,1169864
31120,,Spot,1,Image 1,9,1001142234,1169900
32460,,Spot,1,Image 1,9,1001114033,1169966
31252,,Spot,1,Image 1,9,1001114083,1170005
30532,,Spot,1,Image 1,9,1001114970,1170025
32040,,Spot,1,Image 1,9,1001114155,1170079
42932,,Spot,1,Image 1,9,1001114212,1170127
30408,,Spot,1,Image 1,9,1001114228,1170138
40820,,Spot,1,Image 1,9,1001121359,1170148
36952,,Spot,1,Image 1,9,1001114259,1170152
29600,,Spot,1,Image 1,9,1001135639,1170160
30000,,Spot,1,Image 1,9,1001135666,1170190
35532,,Spot,1,Image 1,9,1001114859,1170710
45616,,Spot,1,Image 1,9,1001114914,1170764
37772,,Spot,1,Image 1,9,1001114932,1170778
28984,,Spot,1,Image 1,9,1001128992,1170804
41460,,Spot,1,Image 1,9,1001114996,1170834
29436,,Spot,1,Image 1,10,1001108722,1171802
26796,,Spot,1,Image 1,10,1001108880,1171976
42044,,Spot,1,Image 1,10,1001108915,1172002
35152,,Spot,1,Image 1,10,1001130236,1172012
39948,,Spot,1,Image 1,10,1001108958,1172038
32680,,Spot,1,Image 1,10,1001109002,1172083
26256,,Spot,1,Image 1,10,1001158314,1172116
37116,,Spot,1,Image 1,10,1001109104,1172143
29168,,Spot,1,Image 1,10,1001109146,1172185
28600,,Spot,1,Image 1,10,1001109241,1172290
31872,,Spot,1,Image 1,10,1001109298,1172360
22828,,Spot,1,Image 1,10,1001130700,1172454
28068,,Spot,1,Image 1,10,1001109419,1172457
34188,,Spot,1,Image 1,10,1001109441,1172477
25504,,Spot,1,Image 1,10,1001109487,1172519
28996,,Spot,1,Image 1,10,1001109538,1172554
27340,,Spot,1,Image 1,10,1001116942,1172730
30088,,Spot,1,Image 1,10,1001110105,1173059
29708,,Spot,1,Image 1,10,1001111580,1174427
35220,,Spot,1,Image 1,10,1001112749,1175550
31552,,Spot,1,Image 1,10,1001175961,1175961
39028,,Spot,1,Image 1,10,1001113852,1176565
34752,,Spot,1,Image 1,10,1001113839,1176566
35428,,Spot,1,Image 1,10,1001113891,1176609
30248,,Spot,1,Image 1,10,1001113909,1176631
41656,,Spot,1,Image 1,10,1001113935,1176659
29884,,Spot,1,Image 1,10,1001113998,1176710
31140,,Spot,1,Image 1,10,1001176735,1176735
28968,,Spot,1,Image 1,10,1001128123,1176742
33364,,Spot,1,Image 1,10,1001114033,1176749
32360,,Spot,1,Image 1,10,1001114083,1176786
37840,,Spot,1,Image 1,10,1001114970,1176807
31088,,Spot,1,Image 1,10,1001114155,1176859
43924,,Spot,1,Image 1,10,1001114212,1176908
30456,,Spot,1,Image 1,10,1001114228,1176934
44752,,Spot,1,Image 1,10,1001114996,1176939
38100,,Spot,1,Image 1,10,1001121359,1176947
32684,,Spot,1,Image 1,10,1001114259,1176952
32056,,Spot,1,Image 1,10,1001135639,1176955
36284,,Spot,1,Image 1,10,1001114859,1177497
47560,,Spot,1,Image 1,10,1001114914,1177553
40660,,Spot,1,Image 1,10,1001114932,1177568
32440,,Spot,1,Image 1,10,1001128992,1177591
26328,,Spot,1,Image 1,11,1001108722,1178595
28168,,Spot,1,Image 1,11,1001108880,1178759
40716,,Spot,1,Image 1,11,1001108915,1178786
33712,,Spot,1,Image 1,11,1001130236,1178798
38356,,Spot,1,Image 1,11,1001108958,1178824
32316,,Spot,1,Image 1,11,1001109002,1178875
30652,,Spot,1,Image 1,11,1001158314,1178906
35312,,Spot,1,Image 1,11,1001109104,1178931
28744,,Spot,1,Image 1,11,1001109146,1178969
29036,,Spot,1,Image 1,11,1001109241,1179090
30932,,Spot,1,Image 1,11,1001109298,1179162
22712,,Spot,1,Image 1,11,1001130700,1179259
30200,,Spot,1,Image 1,11,1001109419,1179261
37764,,Spot,1,Image 1,11,1001109441,1179281
27616,,Spot,1,Image 1,11,1001109487,1179332
28420,,Spot,1,Image 1,11,1001109538,1179372
27908,,Spot,1,Image 1,11,1001116942,1179530
30704,,Spot,1,Image 1,11,1001110105,1179862
29400,,Spot,1,Image 1,11,1001111580,1181196
37228,,Spot,1,Image 1,11,1001112749,1182299
28072,,Spot,1,Image 1,11,1001175961,1182684
32904,,Spot,1,Image 1,11,1001113839,1183285
38092,,Spot,1,Image 1,11,1001113852,1183290
28248,,Spot,1,Image 1,11,1001113875,1183309
37080,,Spot,1,Image 1,11,1001113891,1183331
28760,,Spot,1,Image 1,11,1001113909,1183359
38884,,Spot,1,Image 1,11,1001113935,1183393
31276,,Spot,1,Image 1,11,1001113998,1183433
31640,,Spot,1,Image 1,11,1001176735,1183463
29352,,Spot,1,Image 1,11,1001128123,1183471
28560,,Spot,1,Image 1,11,1001114033,1183478
25492,,Spot,1,Image 1,11,1001114083,1183510
33500,,Spot,1,Image 1,11,1001114155,1183581
46948,,Spot,1,Image 1,11,1001114212,1183615
29300,,Spot,1,Image 1,11,1001114228,1183654
41680,,Spot,1,Image 1,11,1001121359,1183669
35552,,Spot,1,Image 1,11,1001135639,1183673
37100,,Spot,1,Image 1,11,1001114259,1183676
32960,,Spot,1,Image 1,11,1001135666,1183708
39064,,Spot,1,Image 1,11,1001114859,1184224
43236,,Spot,1,Image 1,11,1001114914,1184286
43260,,Spot,1,Image 1,11,1001114932,1184296
34788,,Spot,1,Image 1,11,1001128992,1184325
34440,,Spot,1,Image 1,11,1001114970,1184327
39516,,Spot,1,Image 1,11,1001114996,1184354
30508,,Spot,1,Image 1,12,1001108722,1185334
28772,,Spot,1,Image 1,12,1001108880,1185495
40488,,Spot,1,Image 1,12,1001108915,1185530
35804,,Spot,1,Image 1,12,1001130236,1185534
39116,,Spot,1,Image 1,12,1001108958,1185567
32056,,Spot,1,Image 1,12,1001109002,1185614
31432,,Spot,1,Image 1,12,1001158314,1185650
28800,,Spot,1,Image 1,12,1001109104,1185676
29432,,Spot,1,Image 1,12,1001109146,1185716
30092,,Spot,1,Image 1,12,1001109241,1185819
31800,,Spot,1,Image 1,12,1001109298,1185878
29392,,Spot,1,Image 1,12,1001109419,1185981
33944,,Spot,1,Image 1,12,1001109441,1186002
26844,,Spot,1,Image 1,12,1001109487,1186049
28356,,Spot,1,Image 1,12,1001109538,1186093
