X,Y,Lr,Ch,Density,DoC,D1_D2,Lr_rAboveThresh
17077.579,26449.809,654599.884051111,2,0.0103450713009732,0.925372039873719,0.00318309886183791,1
17088.158,26470.769,422542.408226543,2,0.00477464829275686,0.957620454997735,0.00238732414637843,1
16720.131,27787.017,188966.709634203,2,0.00159154943091895,0.52678947437052,0.00159154943091895,1
16658.428,27813.566,755866.838536813,2,0.0135281701628111,0.066164857532788,0.0135281701628111,1
16803.914,27738.133,597565.204391766,2,0.00875352187005424,0.957986636593679,0.00716197243913529,1
16776.918,27758.4,327299.942025555,2,0.00318309886183791,0.49540016517179,0.00318309886183791,1
16813.097,27718.526,681329.160941835,2,0.0111408460164327,0.965517207062379,0.00318309886183791,1
17136.048,24994.362,377933.419268407,2,0.00397887357729738,0.866060486719614,0.00159154943091895,1
17021.56,24977.418,0,2,0.000795774715459477,0,0.000795774715459477,0
17066.704,25001.982,0,2,0.000795774715459477,0,0.000795774715459477,0
17135.793,25012.156,499958.919762255,2,0.00636619772367581,0.886751364138567,0.00159154943091895,1
17101.44,24993.723,188966.709634203,2,0.00159154943091895,0.769378928969073,0.000795774715459477,1
16703.789,27754.085,462872.016976468,2,0.00557042300821634,0.00434606326042089,0.00557042300821634,1
16703.396,27712.547,499958.919762255,2,0.00636619772367581,-0.0438197518448291,0.00636619772367581,1
16767.215,27745.366,534478.567203418,2,0.00716197243913529,0.427401139515787,0.00716197243913529,1
17104.01,28536.697,845084.816453086,2,0.016711269024649,-0.340029125929602,0.016711269024649,1
17076.749,28506.529,779129.703547243,2,0.0143239448782706,-0.380437339296751,0.0143239448782706,1
16663.3,27129.396,0,2,0.000795774715459477,0,0.000795774715459477,0
17039.019,28516.711,681329.160941835,2,0.0111408460164327,-0.362515412764795,0.0111408460164327,1
17127.869,28528.237,377933.419268407,2,0.00397887357729738,-0.353944132724125,0.00397887357729738,1
17090.507,28512.716,865954.250725478,2,0.0175070437401085,-0.368750380414276,0.0175070437401085,1
17041.393,28489.068,377933.419268407,2,0.00397887357729738,-0.405825841723841,0.00397887357729738,1
16589.949,27071.68,0,2,0.000795774715459477,0,0.000795774715459477,0
17053.018,28506.092,566900.12890261,2,0.00795774715459477,-0.376451451056959,0.00795774715459477,1
16631.957,27797.257,707048.684957184,2,0.0119366207318921,-0.121022337403569,0.0111408460164327,1
16639.925,27793.449,845084.816453086,2,0.016711269024649,-0.157578636179855,0.016711269024649,1
16680.536,27789.253,1164869.03096406,2,0.0310352139029196,0.303309288747254,0.0294436644720006,1
16675.451,27799.048,1239137.58156592,2,0.035014087480217,0.40571817103042,0.033422538049298,1
18963.078,28217.972,188966.709634203,2,0.00159154943091895,0.322281511964112,0.00159154943091895,1
18969.677,28171.62,267239.283601709,2,0.00238732414637843,0.716910034887977,0.00238732414637843,1
19045.588,28188.841,626731.67372469,2,0.00954929658551372,0.183238026333669,0.00954929658551372,1
14968.013,24994.922,377933.419268407,2,0.00397887357729738,0.485315324370258,0.00318309886183791,1
14942.12,25007.3,422542.408226543,2,0.00477464829275686,0.21961852342808,0.00477464829275686,1
14951.823,25020.333,267239.283601709,2,0.00238732414637843,0.212953587687103,0.00238732414637843,1
14932.799,24967.575,654599.884051111,2,0.0103450713009732,0.454580653938359,0.00875352187005424,1
16793.165,27729.035,566900.12890261,2,0.00795774715459477,0.827058090139486,0.00557042300821634,1
16814.762,27740.31,597565.204391766,2,0.00875352187005424,0.855216786298896,0.00397887357729738,1
16845.05,27697.361,779129.703547243,2,0.0143239448782706,0.672169069440645,0.000795774715459477,1
16804.86,27741.116,597565.204391766,2,0.00875352187005424,0.953436603074936,0.00716197243913529,1
15252.308,24757.905,462872.016976468,2,0.00557042300821634,0.559435324299782,0.00397887357729738,1
15265.318,24747.268,499958.919762255,2,0.00636619772367581,0.58868884421144,0.00477464829275686,1
15181.242,24747.695,566900.12890261,2,0.00795774715459477,-0.829818497998166,0.00795774715459477,1
15226.769,24745.569,534478.567203418,2,0.00716197243913529,0.256659748122697,0.00636619772367581,1
15216.881,24745.386,499958.919762255,2,0.00636619772367581,-0.103491424558964,0.00636619772367581,1
14302.713,25315.884,327299.942025555,2,0.00318309886183791,0.168506282495199,0.00318309886183791,1
14228.964,25285.849,267239.283601709,2,0.00238732414637843,-0.207751641745958,0.00238732414637843,1
14264.954,25328.043,188966.709634203,2,0.00159154943091895,-0.241158281984255,0.00159154943091895,1
17691.265,25865.859,534478.567203418,2,0.00716197243913529,-0.332071747284259,0.00716197243913529,1
17655.924,25847.408,566900.12890261,2,0.00795774715459477,-0.418142024428833,0.00795774715459477,1
17680.771,25838.967,597565.204391766,2,0.00875352187005424,-0.395431086182532,0.00875352187005424,1
18831.65,28002.954,327299.942025555,2,0.00318309886183791,0.642519419268106,0.000795774715459477,1
17648.311,25826.503,462872.016976468,2,0.00557042300821634,-0.447080726705428,0.00557042300821634,1
17629.368,25837.03,534478.567203418,2,0.00716197243913529,-0.457000504848305,0.00716197243913529,1
17629.056,25858.779,731864.919400882,2,0.0127323954473516,-0.440711145218822,0.0127323954473516,1
14290.961,25307.757,327299.942025555,2,0.00318309886183791,0.0575354754837718,0.00318309886183791,1
14286.778,25323.501,267239.283601709,2,0.00238732414637843,-0.0510072323456399,0.00238732414637843,1
14226.915,25290.755,267239.283601709,2,0.00238732414637843,-0.244877182280124,0.00238732414637843,1
17581.806,25843.075,188966.709634203,2,0.00159154943091895,-0.455602402241283,0.00159154943091895,1
14297.953,25302.942,267239.283601709,2,0.00238732414637843,0.147887420378544,0.00238732414637843,1
14265.943,25328.061,188966.709634203,2,0.00159154943091895,-0.249226983952972,0.00159154943091895,1
14210.584,25326.051,0,2,0.000795774715459477,0,0.000795774715459477,0
14247.553,25300.035,188966.709634203,2,0.00159154943091895,-0.0758334974751795,0.00159154943091895,1
18807.82,28009.436,499958.919762255,2,0.00636619772367581,0.470541318208021,0.000795774715459477,1
14232.763,25296.796,327299.942025555,2,0.00318309886183791,-0.221296378655364,0.00318309886183791,1
18757.292,28015.426,188966.709634203,2,0.00159154943091895,0.467186997734871,0.00159154943091895,1
14229.187,25339.249,188966.709634203,2,0.00159154943091895,-0.329361686854158,0.00159154943091895,1
14299.912,25373.184,0,2,0.000795774715459477,0,0.000795774715459477,0
14190.131,25303.92,188966.709634203,2,0.00159154943091895,0.107894197023866,0.000795774715459477,1
18764.766,27977,377933.419268407,2,0.00397887357729738,0.551246142719683,0.00159154943091895,1
18762.661,27985.86,377933.419268407,2,0.00397887357729738,0.683516932866353,0.00159154943091895,1
14242.24,25325.646,188966.709634203,2,0.00159154943091895,-0.241312406130388,0.00159154943091895,1
16657.34,27820.468,681329.160941835,2,0.0111408460164327,0.0556929426756084,0.0111408460164327,1
